site_reach,site,reach,sum_abs_change_sin,sum_abs_change_comp,sum_abs_change_sdi,sum_abs_change_net_change,delta_t,n_images,sinuosity_dynamism,complexity_dynamism,sdi_dynamism,net_change_dynamism,avg_wood_pieces_per100m,mean_wood_accum_per_area
IndianLW_Channel,Indian,LW_Channel,0.965071037,0.546584875,1.196141582,35633.69296,20,14,0.003446682,0.001952089,0.004271934,127.2631891,0.341835867,0.02072977
Indianno_LW_Channel,Indian,no_LW_Channel,0.538368015,0.546811469,1.76864008,21865.05669,20,14,0.001922743,0.001952898,0.006316572,78.08948819,0.029464448,7.46E-04
NyackLW_Channel,Nyack,LW_Channel,0.93127122,0.484132419,1.35213344,37586.2771,17,6,0.00913011,0.004746396,0.01325621,368.4929128,0.349191916,0.086219385
Nyackno_LW_Channel,Nyack,no_LW_Channel,1.125434199,0.224921684,2.070370164,25384.39844,17,6,0.011033669,0.002205115,0.020297747,248.8666514,0.074425199,0.001972953
Rock_WA_1LW_Channel,Rock_WA_1,LW_Channel,2.053587025,0.772539529,3.200412793,36251.94111,18,7,0.01629831,0.006131266,0.025400102,287.7138184,0.160823988,0.062477078
Rock_WA_1no_LW_Channel,Rock_WA_1,no_LW_Channel,3.244796839,1.662578706,4.280734011,44989.11882,18,7,0.025752356,0.013195069,0.033974079,357.0564985,0.456454983,0.003767498
Rock_WA_2LW_Channel,Rock_WA_2,LW_Channel,1.631267797,0.404468264,2.65297615,35637.06661,18,7,0.01294657,0.003210066,0.021055366,282.8338619,0.19328778,0.065680043
Rock_WYLW_Channel,Rock_WY,LW_Channel,2.203885321,1.06206468,3.485927539,13024.5859,19,7,0.016570566,0.007985449,0.026209981,97.9292173,0.111471576,0.084179338
Rock_WYno_LW_Channel,Rock_WY,no_LW_Channel,0.431612522,0.785779819,1.131400184,12247.77761,19,7,0.003245207,0.005908119,0.008506768,92.08855346,0,0
SkunkLW_Channel,Skunk,LW_Channel,3.640354551,0.862422517,4.333286569,103486.1641,20,12,0.015168144,0.003593427,0.018055361,431.1923503,0.372883672,0.143975642
Skunkno_LW_Channel,Skunk,no_LW_Channel,0.156829456,0.186703529,1.397457111,54803.04885,20,12,6.53E-04,7.78E-04,0.005822738,228.3460369,0.566695796,0.005328049
SnoqualmieLW_Channel,Snoqualmie,LW_Channel,0.745621157,0.586003086,2.336458748,16782.42146,18,7,0.005917628,0.004650818,0.018543323,133.1938211,0.064829456,0.101917198
Snoqualmieno_LW_Channel,Snoqualmie,no_LW_Channel,1.746048708,0.564269692,2.037797075,10407.49963,18,7,0.013857529,0.004478331,0.016172993,82.59920343,0,0